City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
36,Ixtapa,MX,2022-07-14 14:00:16,20.7,-105.2,83.23,81,48,1.01
37,Erzin,TR,2022-07-14 14:04:20,36.9559,36.2,87.31,52,0,11.77
38,Cidreira,BR,2022-07-14 14:04:21,-30.1811,-50.2056,57.79,96,100,13.56
39,Sitka,US,2022-07-14 14:04:21,57.0531,-135.33,55.29,76,40,0.0
40,Torbay,CA,2022-07-14 14:02:07,47.6666,-52.7314,74.88,68,0,9.06
41,Johi,PK,2022-07-14 14:04:21,26.6921,67.6133,101.62,38,94,13.56
42,Kushmurun,KZ,2022-07-14 14:04:22,52.4503,64.6311,85.33,37,0,3.06
43,Gudari,IN,2022-07-14 14:04:22,19.35,83.7833,76.28,93,100,2.59
44,Hobart,AU,2022-07-14 14:04:01,-42.8794,147.3294,47.26,95,75,4.61
45,Muros,ES,2022-07-14 14:05:23,42.7762,-9.0603,88.09,31,100,7.74
46,Yulara,AU,2022-07-14 14:05:23,-25.2406,130.9889,48.78,43,5,9.66
47,Smiltene,LV,2022-07-14 14:05:23,57.4244,25.9016,70.56,45,90,10.74
48,Faanui,PF,2022-07-14 14:05:24,-16.4833,-151.75,77.4,74,22,23.38
49,Luis Correia,BR,2022-07-14 14:05:24,-2.8792,-41.6669,91.4,55,40,11.5
50,San Quintin,MX,2022-07-14 14:05:24,30.4833,-115.95,65.97,83,95,7.31
51,Zhigansk,RU,2022-07-14 14:05:25,66.7697,123.3711,62.22,89,82,6.44
52,Tiksi,RU,2022-07-14 14:05:25,71.6872,128.8694,40.53,86,100,5.7
53,Hermanus,ZA,2022-07-14 14:03:53,-34.4187,19.2345,60.8,77,39,8.23
54,Rioja,AR,2022-07-14 14:05:26,-29.4111,-66.8507,61.2,29,0,4.09
55,Santa Rosa,PH,2022-07-14 14:05:26,14.3122,121.1114,84.11,86,88,2.3
56,Port Alfred,ZA,2022-07-14 14:05:26,-33.5906,26.891,62.19,63,81,5.99
57,Fort Frances,CA,2022-07-14 14:00:31,48.5999,-93.4003,64.17,68,95,5.01
58,Nikolskoye,RU,2022-07-14 14:05:27,59.7035,30.7861,67.87,73,73,8.43
59,Vila Do Maio,CV,2022-07-14 14:05:27,15.1333,-23.2167,83.19,79,100,13.56
60,Banepa,NP,2022-07-14 14:05:28,27.6298,85.5214,73.72,88,75,4.61
61,Busselton,AU,2022-07-14 14:03:51,-33.65,115.3333,58.69,76,66,19.57
62,Izazi,TZ,2022-07-14 14:05:28,-7.2,35.7333,85.51,31,53,8.16
63,Narsaq,GL,2022-07-14 14:05:28,60.9167,-46.05,59.22,80,100,4.52
64,Constitucion,CL,2022-07-14 14:05:29,-35.3333,-72.4167,44.26,85,92,12.15
65,Chapais,CA,2022-07-14 14:05:29,49.7834,-74.8492,65.5,46,91,5.84
66,Nago,JP,2022-07-14 14:05:29,26.5881,127.9761,81.99,90,100,7.36
67,Ancud,CL,2022-07-14 14:05:29,-41.8697,-73.8203,41.23,89,75,8.3
68,Te Anau,NZ,2022-07-14 14:05:30,-45.4167,167.7167,33.3,93,76,0.85
69,Georgetown,MY,2022-07-14 14:02:02,5.4112,100.3354,84.13,82,20,2.3
70,Aklavik,CA,2022-07-14 14:05:30,68.2191,-135.0107,37.85,84,100,17.9
71,Montepuez,MZ,2022-07-14 14:05:31,-13.1256,38.9997,79.36,36,54,7.52
72,Miles City,US,2022-07-14 14:05:31,46.4083,-105.8406,76.17,53,0,8.05
73,Togur,RU,2022-07-14 14:05:31,58.3631,82.8265,60.89,69,92,4.9
74,Peniche,PT,2022-07-14 14:05:32,39.3558,-9.3811,77.56,78,68,9.91
75,Oistins,BB,2022-07-14 14:05:32,13.0667,-59.5333,87.89,66,40,17.27
76,Saskylakh,RU,2022-07-14 14:05:32,71.9167,114.0833,42.76,91,100,8.88
77,Namibe,AO,2022-07-14 14:05:32,-15.1961,12.1522,69.17,78,15,13.87
78,Thompson,CA,2022-07-14 14:05:33,55.7435,-97.8558,66.45,93,100,10.47
79,Zeulenroda,DE,2022-07-14 14:05:33,50.65,11.9833,80.67,63,99,10.67
80,Denpasar,ID,2022-07-14 14:01:17,-8.65,115.2167,78.46,83,20,12.66
81,Victoria,HK,2022-07-14 14:04:28,22.2855,114.1577,87.33,79,98,8.01
82,Uray,RU,2022-07-14 14:05:34,60.1247,64.7758,73.74,66,79,8.34
83,Khatanga,RU,2022-07-14 14:05:34,71.9667,102.5,44.11,85,100,5.61
84,Ponta Do Sol,PT,2022-07-14 14:05:34,32.6667,-17.1,79.72,62,2,7.87
85,Bali,ID,2022-07-14 14:05:35,-8.5,115.0,77.97,89,19,6.58
86,Souillac,MU,2022-07-14 14:01:09,-20.5167,57.5167,70.38,73,22,14.9
87,Tilichiki,RU,2022-07-14 14:05:35,60.4667,166.1,57.81,72,2,7.36
88,Port-Gentil,GA,2022-07-14 14:03:48,-0.7193,8.7815,80.56,69,20,14.97
89,Pontivy,FR,2022-07-14 14:05:35,48.0,-3.0,84.27,22,100,14.38
90,Puerto Del Rosario,ES,2022-07-14 14:05:36,28.5004,-13.8627,76.75,69,20,19.57
91,Bathsheba,BB,2022-07-14 14:06:36,13.2167,-59.5167,88.41,85,40,17.27
92,Ingham,US,2022-07-14 14:06:36,42.6,-84.3833,71.19,69,0,4.61
93,Kapaa,US,2022-07-14 14:06:37,22.0752,-159.319,77.32,86,75,17.27
94,Ostrovnoy,RU,2022-07-14 14:04:00,68.0531,39.5131,62.71,93,100,5.86
95,Avarua,CK,2022-07-14 14:06:37,-21.2078,-159.775,73.45,68,75,8.05
96,Hami,CN,2022-07-14 14:06:37,42.8,93.45,85.68,19,81,8.59
97,Ballina,AU,2022-07-14 14:06:38,-28.8667,153.5667,55.02,76,80,15.73
98,Madang,PG,2022-07-14 14:06:38,-5.2246,145.7966,78.42,89,99,8.41
99,Komsomolskiy,UZ,2022-07-14 14:06:38,40.4272,71.7189,92.12,15,0,4.61
100,Luba,GQ,2022-07-14 14:06:39,3.4568,8.5547,77.49,86,49,13.27
101,Gat,IL,2022-07-14 14:06:39,31.61,34.7642,89.4,30,0,12.75
102,Capreol,CA,2022-07-14 14:06:39,46.706,-80.9225,62.02,61,80,4.92
103,Auki,SB,2022-07-14 14:06:40,-8.7676,160.7034,76.1,85,64,2.51
104,Jagdalpur,IN,2022-07-14 14:06:40,19.0667,82.0333,70.56,96,100,8.14
105,Iquitos,PE,2022-07-14 14:05:09,-3.7481,-73.2472,80.64,83,40,3.44
106,Hailar,CN,2022-07-14 14:06:40,49.2,119.7,61.27,94,100,7.02
107,Barranca,PE,2022-07-14 14:06:41,-10.75,-77.7667,61.23,77,73,8.63
108,Cape Town,ZA,2022-07-14 14:05:30,-33.9258,18.4232,66.38,66,12,3.0
109,Mangrol,IN,2022-07-14 14:06:41,21.1167,70.1167,80.51,90,100,13.18
110,Mehamn,NO,2022-07-14 14:06:41,71.0357,27.8492,64.35,77,40,6.91
111,Dikson,RU,2022-07-14 14:06:42,73.5069,80.5464,43.12,73,7,12.46
112,Banjar,ID,2022-07-14 14:06:42,-8.19,114.9675,77.43,88,65,1.59
113,Qaanaaq,GL,2022-07-14 14:03:54,77.484,-69.3632,42.46,88,99,7.49
114,Broome,US,2022-07-14 14:06:42,42.2506,-75.833,70.09,77,100,4.61
115,Kanniyakumari,IN,2022-07-14 14:03:14,8.0833,77.5667,80.02,77,48,21.61
116,Oktyabrskiy,RU,2022-07-14 14:06:43,54.4815,53.471,74.89,76,100,9.28
117,Longyearbyen,SJ,2022-07-14 14:03:53,78.2186,15.6401,53.44,76,0,4.61
118,Atuona,PF,2022-07-14 14:03:49,-9.8,-139.0333,77.31,69,29,16.49
119,Bambous Virieux,MU,2022-07-14 14:06:43,-20.3428,57.7575,71.22,70,16,15.61
120,Rhyl,GB,2022-07-14 14:06:44,53.3196,-3.4886,67.19,27,55,12.21
121,Zelenoborskiy,RU,2022-07-14 14:06:44,66.845,32.3622,59.2,95,100,2.93
122,Geraldton,AU,2022-07-14 14:06:44,-28.7667,114.6,63.01,63,1,9.22
123,Garissa,KE,2022-07-14 14:06:45,-0.4536,39.6401,75.25,78,99,21.97
124,Lakes Entrance,AU,2022-07-14 14:06:45,-37.8811,147.981,48.11,72,100,8.59
125,Severo-Kurilsk,RU,2022-07-14 14:06:45,50.6789,156.125,52.72,97,87,7.56
126,Goderich,CA,2022-07-14 14:06:46,43.7501,-81.7165,67.91,67,4,6.35
127,Raga,SS,2022-07-14 14:06:46,8.4596,25.678,76.1,86,100,1.57
