,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
259,Castro,BR,74.59,few clouds,-24.7911,-50.0119,CHACARA BAILLY
260,Moose Factory,CA,71.58,haze,51.2585,-80.6094,Cree Village Eco Lodge
262,Lata,PT,77.45,overcast clouds,40.1629,-8.3327,Casa Maquia
265,Phangnga,TH,78.84,overcast clouds,8.4509,98.5298,Sunimit Mansion
269,Jiexiu,CN,71.65,broken clouds,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
273,Sept-Iles,CA,70.05,overcast clouds,50.2001,-66.3821,Comfort Inn
274,Bahia Honda,CU,87.69,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
275,Flin Flon,CA,84.04,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
276,Kundla,IN,79.5,broken clouds,21.3333,71.3,Gaytri Society
281,Shingu,JP,74.52,few clouds,33.7333,135.9833,Shingu UI Hotel
292,Leua,SK,74.5,overcast clouds,48.2156,18.6071,Business Hotel ASTRUM Laus
293,Katobu,ID,73.81,overcast clouds,-4.9408,122.5276,La Ode Husein
297,Namatanai,PG,78.13,light rain,-3.6667,152.4333,Seagulls Inn Namatani
300,Kupang,ID,70.92,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
301,Trairi,BR,83.23,broken clouds,-3.2778,-39.2689,janelas do mar
304,Chake Chake,TZ,74.59,overcast clouds,-5.2459,39.7666,Hotel Archipelago
312,Yenagoa,NG,74.93,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
313,Phalodi,IN,89.71,scattered clouds,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
318,Grand Forks,US,80.53,few clouds,47.9417,-97.4337,Warrior Inn
319,Upata,VE,78.78,overcast clouds,8.0086,-62.3989,Posada Villa Nela
320,Guerrero Negro,MX,71.67,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
327,Bima,ID,74.8,broken clouds,-8.4667,118.7167,Lambitu Hotel
333,Paris,FR,81.37,clear sky,48.8534,2.3488,Britannique Hotel - Paris Centre
334,Sirajganj,BD,85.14,clear sky,24.45,89.7167,MAHMUDUL PICTURE
336,Bintulu,MY,77.41,heavy intensity rain,3.1667,113.0333,900 Boutique INN
338,Liku,ID,75.33,light rain,-0.7275,119.8922,Kost annisa
340,Lingao,CN,82.0,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
341,Vaitape,PF,76.68,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
343,Zhezkazgan,KZ,82.58,scattered clouds,47.8043,67.7144,Hotel Zumrat
345,Zabol,AF,77.7,broken clouds,32.25,67.25,
349,Vila Do Maio,CV,76.78,clear sky,15.1333,-23.2167,Hotel Marilu
352,Bisira,PA,71.58,broken clouds,8.5196,-81.7115,
353,Simbahan,PH,81.37,overcast clouds,6.3032,120.5836,
354,Muros,ES,80.17,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
355,Kieta,PG,77.63,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
357,Acarau,BR,84.15,few clouds,-2.8856,-40.12,castelo pizzaria
359,Basoko,CD,73.38,light rain,1.2391,23.616,Jackyna Hotel
360,Ishinomaki,JP,71.82,overcast clouds,38.4167,141.3,Ishinomaki Grand Hotel
362,Meulaboh,ID,77.27,overcast clouds,4.1363,96.1285,Kost Pria
363,Yenotayevka,RU,80.31,clear sky,47.2456,47.0281,Hotel Voyage
367,San Cristobal,VE,78.98,few clouds,7.7669,-72.225,Pirineos
370,Luwuk,ID,76.15,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
379,Porto Novo,BJ,75.79,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
380,Bonthe,SL,77.99,light rain,7.5264,-12.505,Bonthe Holiday Village
381,Leova,MD,71.11,clear sky,46.4786,28.2553,Relax
382,Sola,VU,79.75,broken clouds,-13.8833,167.55,Leumerus Bungalows
383,Cayenne,GF,87.84,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
386,Marsh Harbour,BS,84.16,broken clouds,26.5412,-77.0636,Abaco Beach Resort
387,Alofi,NU,73.29,broken clouds,-19.0595,-169.9187,Taloa Heights
388,Izumo,JP,73.35,few clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
392,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
395,Boa Vista,BR,89.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
396,Thinadhoo,MV,83.28,few clouds,0.5333,72.9333,
397,Eyl,SO,79.83,overcast clouds,7.9803,49.8164,Amiin Hotel
399,Port Said,EG,78.37,clear sky,31.2565,32.2841,Aracan Hotel
400,Kirakira,SB,78.67,scattered clouds,-10.4544,161.9205,SanBiz Lodge
402,Metaxades,GR,76.3,clear sky,41.4204,26.225,Remvi Hotel & Cafe
403,Yuanping,CN,70.32,overcast clouds,38.7153,112.7575,Yuanping Xinghe Guesthouse
404,Bethel,US,81.64,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
405,Mayo,US,88.39,clear sky,38.8876,-76.5119,Resorts Resource Group International
409,Suamico,US,78.49,broken clouds,44.6319,-88.0393,"Country Inn & Suites by Radisson, Green Bay North, WI"
410,Yarada,IN,80.92,light rain,17.65,83.2667,Yarada Jungle Beach Resorts
411,Jalu,LY,88.3,clear sky,29.0331,21.5482,صاحبة الفخامة
412,Quatre Cocos,MU,71.71,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
415,Linhares,BR,81.63,scattered clouds,-19.3911,-40.0722,Hotel Conceição
417,Tongchuan,CN,73.0,broken clouds,35.0806,109.0897,Tongchuan Hotel
421,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
423,Suez,EG,78.87,clear sky,29.9737,32.5263,Green House
